,Показы,Kлики
02.12.11,900,70
03.12.11,700,70
04.12.11,1 000,110
05.12.11,1 300,150
06.12.11,1 300,150
07.12.11,1 300,150
08.12.11,1 000,110
09.12.11,900,70
10.12.11,900,90
11.12.11,1 300,110
12.12.11,1 300,150
13.12.11,1 300,110
14.12.11,1 300,150
15.12.11,1 000,150
16.12.11,700,70
17.12.11,700,70
18.12.11,1 300,170
19.12.11,1 000,150
20.12.11,1 000,150
21.12.11,1 000,110
22.12.11,1 000,110
23.12.11,700,70
24.12.11,700,60
25.12.11,900,90
26.12.11,900,90
27.12.11,700,70
28.12.11,600,35
29.12.11,500,30
30.12.11,320,< 10
31.12.11,200,< 10
01.01.12,200,< 10
